chembl_id,generic_name,max_phase,mol_type,n_synonyms,brand_names,research_codes
CHEMBL100259,uridine,3.0,Small molecule,6,,nsc-20256
CHEMBL1005,remifentanil,4.0,Small molecule,11,remifentanil|remifentanil,gi 87084x|ids-nr-005
CHEMBL1006,amifostine,4.0,Small molecule,25,amifostine|amifostine|amifostine|amifostine|ethyol,nsc-296961|nsc-758236|wr-2721|wr-2721 trihydrate|ym-08310
CHEMBL1007,gonadorelin,4.0,Protein,12,fertiral lh-rh|gonadorelin|gonadorelin|relefact lh-rh,
CHEMBL101253,vatalanib,3.0,Small molecule,14,vatalanib|vatalanib,bay-86-5127|cgp-79787|k-222584|nvp-ptk787|ptk787
CHEMBL1014,candesartan cilexetil,4.0,Small molecule,13,amias|atacand|candesartan cilexetil|candesartan cilexetil|ratacand,nsc-758697|tcv-116
CHEMBL1023,bexarotene,4.0,Small molecule,19,bexarotene|bexarotene|bexarotene|bexarotene|targretin,lg-100069|lg100069|lgd-1069|lgd1069|nsc-747528
CHEMBL1024,ifosfamide,4.0,Small molecule,22,ifex|ifosfamide|ifosfamide|ifosfamide|ifosfamide,mjf 9325|mjf-9325|nsc-109724|z-4942|z4942
CHEMBL103,progesterone,4.0,Small molecule,28,crinone|cyclogest|endometrin|lutigest|milprosa,nsc-64377|nsc-9704|u 3672
CHEMBL1034,diclofenac sodium,4.0,Small molecule,123,acoflam|acoflam ret|acoflam sr|arthronac|arthrotec 50,gp 45840|gp-45840|nsc-756725
CHEMBL1042,cholecalciferol,4.0,Small molecule,73,accrete d3|aciferol d3|adcal-d3|biolife vitamin d3|cacit d3,cholecalciferol component of ak r215  colecalciferol|cholecalciferol component of ak-r215  colecalciferol|nsc-375571
CHEMBL1046,aminocaproic acid,4.0,Small molecule,30,amicar|aminocaproic|aminocaproic acid|aminocaproic acid|aminocaproic acid,177 j.d|177 j.d.|177 jd|177-jd|cl 10304
CHEMBL105,mitomycin,4.0,Small molecule,26,jelmyto|mitomycin|mitomycin|mitomycin|mitomycin,nsc-26980|ugn-101|ugn-102
CHEMBL105442,ci-1040,2.0,Small molecule,4,,pd-18435|pd-184352
CHEMBL1057,fluorescein,4.0,Small molecule,10,d & c yellow no. 7 k7133,ci 45350:1|nsc-667256|nsc-759114
CHEMBL1059,pregabalin,4.0,Small molecule,38,alzain|axalid|bonqat|lecaent|lyrica,ci-1008|nsc-759256|pd-144723|ynp-1807
CHEMBL106,fluconazole,4.0,Small molecule,25,canesten oral|diflucan|diflucan one|fluconazole|fluconazole,"bayt-006267|bayt006267|nsc-758661|uk-49,858|uk-49858"
